mean,regionname,state
85443.7734375,Minden,NY
146631.328125,Wilmington,NY
383963.0625,Ventura,CA
139695.578125,Anderson Mill,TX
265196.375,Weddington,NC
130880.320312,Hemlock,MI
198442.96875,Kirtland,OH
910273.1875,Rye,NY
85633.3359375,Baker,LA
114370.679688,Monroe,LA
350897.875,Ramona,CA
207559.03125,Clinton,MD
230338.15625,Davidson,NC
155071.078125,Georgetown,TN
155061.84375,Smithville,MO
131570.28125,East York,PA
356218.28125,Ocean City,NJ
283917.6875,Lake Arrowhead,CA
226280.328125,Mariemont,OH
93380.3203125,Lagrange,GA
432114.125,Wilmette,IL
162119.671875,Bent Creek,NC
42275.9023438,Marshallville,OH
121047.390625,Owasso,OK
132063.453125,Dos Palos,CA
150740.15625,Morrow,OH
385249.03125,Moneta,VA
88169.8828125,Hapeville,GA
241582.734375,Indialantic,FL
401548.1875,Long Beach,CA
146225.703125,Imperial,MO
78322.890625,Edgerton,OH
64382.328125,East Deer Township,PA
105040.5625,Seymour,IN
448378.03125,Oakland,CA
88326.1015625,JanPhyl Village,FL
85791.1640625,Sutter Creek,CA
219401.609375,McKinleyville,CA
69083.1328125,Shoals,IN
63303.6132812,Hazleton,PA
739287.1875,Redwood City,CA
354937.0,North Potomac,MD
235164.25,Nottingham,NH
526808.0625,Pacifica,CA
58812.046875,Ben Avon,PA
205662.25,Hancock,MA
185516.0625,Palmer Lake,CO
120221.6875,Gladehill,VA
126513.25,Pennville,PA
64577.5117188,Combes,TX
53822.4882812,Prattsburgh,NY
109869.078125,Ridge Manor,FL
64110.4414062,Soldotna,AK
281120.4375,Derwood,MD
156981.921875,Haverhill,FL
95718.875,Rawson,OH
106736.148438,Springdale,AR
177901.203125,Griswold,CT
145101.203125,Spring Township,PA
44712.046875,Benton City,WA
45823.2929688,Lake Station,IN
57275.1015625,Stowe Township,PA
140863.859375,Gilroy,CA
68662.25,Muskegon Township,MI
127463.851562,Kentwood,MI
54416.8671875,Williamsville,NY
665947.375,Calabasas,CA
209265.46875,Longmont,CO
87996.7890625,McAllen,TX
128597.992188,North Lawrence,OH
39607.2304688,East Chicago,IN
192934.53125,Whitmore Lake,MI
242716.875,Carver,MA
98212.453125,Chickamauga,GA
231668.671875,Marlborough,CT
130652.609375,Kearns,UT
186821.6875,Commerce City,CO
115882.734375,Bridgetown,OH
158283.53125,Town of Bristol,NH
123587.148438,Tyler,TX
379522.96875,New Hyde Park,NY
59993.5742188,Corsicana,TX
209453.015625,South Windsor,CT
204306.03125,Saint Anthony,MN
173709.234375,Lakes,AK
149097.59375,East Missoula,MT
117677.109375,Goshen,IN
373694.78125,Los Angeles,CA
146509.640625,Lillian,AL
105620.484375,Statham,GA
20483.9355469,Drumright,OK
146797.1875,Williamstown,NJ
113359.4375,Chapel Hill,TN
39560.640625,Angola on the Lake,NY
41062.6523438,Sterling,OH
103798.390625,La Crosse,WI
21522.0878906,Vernon,TX
174207.625,Jefferson Township,PA
35868.2734375,Springfield Township,PA
94617.671875,Springville,IN
